classifier_name,dataset_name,accuracy
SPARTAN,FordB,0.5000759621646484
SAX,FreezerRegularTrain,0.65297321329332
SFA,FreezerRegularTrain,0.6228822940980326
SPARTAN,FreezerRegularTrain,0.5752345226186507
SAX,FreezerSmallTrain,0.6540292362106984
SFA,FreezerSmallTrain,0.6219326411116127
SPARTAN,FreezerSmallTrain,0.5883466509565332
SAX,Fungi,0.8250507099391481
SFA,Fungi,0.9495073891625616
SPARTAN,Fungi,0.9583743842364532
SAX,GestureMidAirD1,0.92861657858234
SFA,GestureMidAirD1,0.9410197882464488
SPARTAN,GestureMidAirD1,0.9421768826927466
SAX,GestureMidAirD2,0.9412708724737942
SFA,GestureMidAirD2,0.942066265166014
SPARTAN,GestureMidAirD2,0.9439485189542254
SAX,GestureMidAirD3,0.9318596035327374
SFA,GestureMidAirD3,0.935274700191386
SPARTAN,GestureMidAirD3,0.9358945095078396
SAX,GesturePebbleZ1,0.8176220253604308
SFA,GesturePebbleZ1,0.8843668577384054
SPARTAN,GesturePebbleZ1,0.8305410804238319
SAX,GesturePebbleZ2,0.8281179433732847
SFA,GesturePebbleZ2,0.8847120896300156
SPARTAN,GesturePebbleZ2,0.8290885009553586
SAX,GunPoint,0.5700502512562815
SFA,GunPoint,0.5325125628140703
SPARTAN,GunPoint,0.5012763819095477
SAX,GunPointAgeSpan,0.5591091401823108
SFA,GunPointAgeSpan,0.622539541759054
SPARTAN,GunPointAgeSpan,0.5777107661985711
SAX,GunPointMaleVersusFemale,0.533528455284553
SFA,GunPointMaleVersusFemale,0.5028253264350825
SPARTAN,GunPointMaleVersusFemale,0.529610248829761
SAX,GunPointOldVersusYoung,0.5959359448139936
SFA,GunPointOldVersusYoung,0.5712835673811283
SPARTAN,GunPointOldVersusYoung,0.5186459719142645
SAX,Ham,0.5049537097977272
SFA,Ham,0.5042604536878592
SPARTAN,Ham,0.5238120310648939
SAX,HandOutlines,0.6560588207066802
SFA,HandOutlines,0.5416591576780962
SPARTAN,HandOutlines,0.5492645812117108
SAX,Haptics,0.6470131740110141
SFA,Haptics,0.6885641356483689
SPARTAN,Haptics,0.6938851645115143
SAX,Herring,0.4960629921259842
SFA,Herring,0.5033464566929134
SPARTAN,Herring,0.4991387795275591
SAX,HouseTwenty,0.5321710054931932
SFA,HouseTwenty,0.5374572088209538
SPARTAN,HouseTwenty,0.531565958124353
SAX,InlineSkate,0.7415574256252222
SFA,InlineSkate,0.7459523527320138
