,dataset,a,w,method,tlb
121,BeetleFly,7,7,SFA,0.3254185125756765
123,BeetleFly,7,7,SPARTAN_woDAA,0.3778289983535501
124,BeetleFly,7,7,SPARTAN,0.3770729409438778
125,BeetleFly,8,7,SAX,0.3081765570222011
126,BeetleFly,8,7,SFA,0.3361999188810063
128,BeetleFly,8,7,SPARTAN_woDAA,0.4134224683084017
129,BeetleFly,8,7,SPARTAN,0.4134224683084017
130,BeetleFly,9,7,SAX,0.3472636421403472
131,BeetleFly,9,7,SFA,0.3529990355139078
133,BeetleFly,9,7,SPARTAN_woDAA,0.4205742058040077
134,BeetleFly,9,7,SPARTAN,0.4293006150858653
135,BeetleFly,10,7,SAX,0.3721404310533155
136,BeetleFly,10,7,SFA,0.3548282253802878
138,BeetleFly,10,7,SPARTAN_woDAA,0.4291753186716939
139,BeetleFly,10,7,SPARTAN,0.4435015622809684
140,BeetleFly,4,8,SAX,0.2933597381637881
141,BeetleFly,4,8,SFA,0.2411133994340175
143,BeetleFly,4,8,SPARTAN_woDAA,0.2961663068749349
144,BeetleFly,4,8,SPARTAN,0.2907011383080988
145,BeetleFly,5,8,SAX,0.2973908829425772
146,BeetleFly,5,8,SFA,0.2715344107873803
148,BeetleFly,5,8,SPARTAN_woDAA,0.33843820955647
149,BeetleFly,5,8,SPARTAN,0.3372548271150238
150,BeetleFly,6,8,SAX,0.3256260967753916
151,BeetleFly,6,8,SFA,0.3159043451523953
153,BeetleFly,6,8,SPARTAN_woDAA,0.3822284089855792
154,BeetleFly,6,8,SPARTAN,0.3699640985556233
155,BeetleFly,7,8,SAX,0.342768758496624
156,BeetleFly,7,8,SFA,0.3427005381434121
158,BeetleFly,7,8,SPARTAN_woDAA,0.3989599751491788
159,BeetleFly,7,8,SPARTAN,0.4103856098543477
160,BeetleFly,8,8,SAX,0.3847803442579465
161,BeetleFly,8,8,SFA,0.3566936672422839
163,BeetleFly,8,8,SPARTAN_woDAA,0.433601233850203
164,BeetleFly,8,8,SPARTAN,0.4388599625048572
165,BeetleFly,9,8,SAX,0.3908685397760432
166,BeetleFly,9,8,SFA,0.3726283192082903
168,BeetleFly,9,8,SPARTAN_woDAA,0.4443858327558966
169,BeetleFly,9,8,SPARTAN,0.4483430864744498
170,BeetleFly,10,8,SAX,0.4108377727822014
171,BeetleFly,10,8,SFA,0.3812365783458215
173,BeetleFly,10,8,SPARTAN_woDAA,0.4528417101118747
174,BeetleFly,10,8,SPARTAN,0.4620443863098231
175,BeetleFly,4,9,SAX,0.307766694353429
176,BeetleFly,4,9,SFA,0.2529677854104805
178,BeetleFly,4,9,SPARTAN_woDAA,0.3054447776342542
179,BeetleFly,4,9,SPARTAN,0.3055806220365078
180,BeetleFly,5,9,SAX,0.3130695254450483
181,BeetleFly,5,9,SFA,0.2872674084410169
183,BeetleFly,5,9,SPARTAN_woDAA,0.3563130797167859
184,BeetleFly,5,9,SPARTAN,0.3439971353146907
185,BeetleFly,6,9,SAX,0.3464751277480373
186,BeetleFly,6,9,SFA,0.3309872991778447
188,BeetleFly,6,9,SPARTAN_woDAA,0.4019904007645842
189,BeetleFly,6,9,SPARTAN,0.3949316290855519
190,BeetleFly,7,9,SAX,0.3733291624418359
191,BeetleFly,7,9,SFA,0.3579578092148291
193,BeetleFly,7,9,SPARTAN_woDAA,0.4150545315866057
194,BeetleFly,7,9,SPARTAN,0.4286697429126331
195,BeetleFly,8,9,SAX,0.4010865930285872
196,BeetleFly,8,9,SFA,0.3723564222708726
198,BeetleFly,8,9,SPARTAN_woDAA,0.4490860225568715
199,BeetleFly,8,9,SPARTAN,0.4529192646433266
200,BeetleFly,9,9,SAX,0.3985777808948975
201,BeetleFly,9,9,SFA,0.390573424794522
203,BeetleFly,9,9,SPARTAN_woDAA,0.4631442020685651
204,BeetleFly,9,9,SPARTAN,0.4663695247034704
205,BeetleFly,10,9,SAX,0.4242870481625365
206,BeetleFly,10,9,SFA,0.4003580069222034
208,BeetleFly,10,9,SPARTAN_woDAA,0.4726401105614685
209,BeetleFly,10,9,SPARTAN,0.4764184667794998
210,BeetleFly,4,10,SAX,0.3147537030120538
211,BeetleFly,4,10,SFA,0.2607701496893216
213,BeetleFly,4,10,SPARTAN_woDAA,0.3195790242006686
214,BeetleFly,4,10,SPARTAN,0.3372548271150238
215,BeetleFly,5,10,SAX,0.3699404971550133
216,BeetleFly,5,10,SFA,0.2958460982780395
218,BeetleFly,5,10,SPARTAN_woDAA,0.3666875338952955
219,BeetleFly,5,10,SPARTAN,0.369569779327406
220,BeetleFly,6,10,SAX,0.392330246322425
221,BeetleFly,6,10,SFA,0.3408422429076886
223,BeetleFly,6,10,SPARTAN_woDAA,0.4139284256968173
224,BeetleFly,6,10,SPARTAN,0.4054078607295817
225,BeetleFly,7,10,SAX,0.4126441558483731
226,BeetleFly,7,10,SFA,0.3654387355729494
228,BeetleFly,7,10,SPARTAN_woDAA,0.430000053460102
229,BeetleFly,7,10,SPARTAN,0.4471708085567209
230,BeetleFly,8,10,SAX,0.4258585517602711
231,BeetleFly,8,10,SFA,0.3805402553114163
233,BeetleFly,8,10,SPARTAN_woDAA,0.4660700091109676
234,BeetleFly,8,10,SPARTAN,0.474534462291407
235,BeetleFly,9,10,SAX,0.4369520013046121
236,BeetleFly,9,10,SFA,0.4006518936443982
238,BeetleFly,9,10,SPARTAN_woDAA,0.4809697308412246
239,BeetleFly,9,10,SPARTAN,0.4842550993225857
240,BeetleFly,10,10,SAX,0.4701780267004319
241,BeetleFly,10,10,SFA,0.4129658141266205
243,BeetleFly,10,10,SPARTAN_woDAA,0.486714410594015
244,BeetleFly,10,10,SPARTAN,0.4958878024590176
245,Wine,4,4,SAX,0.0185185185185185
246,Wine,4,4,SFA,0.1804343935221753
248,Wine,4,4,SPARTAN_woDAA,0.2469149968157659
249,Wine,4,4,SPARTAN,0.4483796184191413
250,Wine,5,4,SAX,0.0185185185185185
251,Wine,5,4,SFA,0.2560130637042099
253,Wine,5,4,SPARTAN_woDAA,0.3041499162136167
254,Wine,5,4,SPARTAN,0.4567612665737313
255,Wine,6,4,SAX,0.0185185185185185
256,Wine,6,4,SFA,0.2830541520588255
258,Wine,6,4,SPARTAN_woDAA,0.3755251947447119
259,Wine,6,4,SPARTAN,0.4732998045362374
260,Wine,7,4,SAX,0.0185185185185185
261,Wine,7,4,SFA,0.3091347746172376
263,Wine,7,4,SPARTAN_woDAA,0.4528968507572959
264,Wine,7,4,SPARTAN,0.4809480699892686
265,Wine,8,4,SAX,0.0185185185185185
266,Wine,8,4,SFA,0.3238386319288226
268,Wine,8,4,SPARTAN_woDAA,0.4926627962222764
269,Wine,8,4,SPARTAN,0.575926787613486
270,Wine,9,4,SAX,0.0185185185185185
271,Wine,9,4,SFA,0.3547566196950256
273,Wine,9,4,SPARTAN_woDAA,0.5151419140477362
