,dataset,a,w,method,tlb
8409,Coffee,5,6,SPARTAN,0.4669504920551136
8410,Coffee,6,6,SAX,0.0357142857142857
8411,Coffee,6,6,SFA,0.2709541432691306
8413,Coffee,6,6,SPARTAN_woDAA,0.4713054876297669
8414,Coffee,6,6,SPARTAN,0.499909932260878
8415,Coffee,7,6,SAX,0.0357142857142857
8416,Coffee,7,6,SFA,0.2880301924029926
8418,Coffee,7,6,SPARTAN_woDAA,0.5136038072981856
8419,Coffee,7,6,SPARTAN,0.5273510680675575
8420,Coffee,8,6,SAX,0.0357142857142857
8421,Coffee,8,6,SFA,0.3066527148257727
8423,Coffee,8,6,SPARTAN_woDAA,0.5441323706533538
8424,Coffee,8,6,SPARTAN,0.6114890827744734
8425,Coffee,9,6,SAX,0.0357142857142857
8426,Coffee,9,6,SFA,0.3133241535028044
8428,Coffee,9,6,SPARTAN_woDAA,0.5527724461862623
8429,Coffee,9,6,SPARTAN,0.6188732289248808
8430,Coffee,10,6,SAX,0.0357142857142857
8431,Coffee,10,6,SFA,0.3359419932532823
8433,Coffee,10,6,SPARTAN_woDAA,0.58435213018337
8434,Coffee,10,6,SPARTAN,0.6188732289248808
8435,Coffee,4,7,SAX,0.0357142857142857
8436,Coffee,4,7,SFA,0.2357382819991695
8438,Coffee,4,7,SPARTAN_woDAA,0.3748618371487816
8439,Coffee,4,7,SPARTAN,0.4669504920551136
8440,Coffee,5,7,SAX,0.0357142857142857
8441,Coffee,5,7,SFA,0.2802049782522069
8443,Coffee,5,7,SPARTAN_woDAA,0.4082932074763411
8444,Coffee,5,7,SPARTAN,0.499909932260878
8445,Coffee,6,7,SAX,0.0357142857142857
8446,Coffee,6,7,SFA,0.3002278255644968
8448,Coffee,6,7,SPARTAN_woDAA,0.4764601562328392
8449,Coffee,6,7,SPARTAN,0.5291875183496872
8450,Coffee,7,7,SAX,0.0357142857142857
8451,Coffee,7,7,SFA,0.3185700305802787
8453,Coffee,7,7,SPARTAN_woDAA,0.5190799121699184
8454,Coffee,7,7,SPARTAN,0.5379685926481015
8455,Coffee,8,7,SAX,0.0357142857142857
8456,Coffee,8,7,SFA,0.338082312214329
8458,Coffee,8,7,SPARTAN_woDAA,0.5492100940170322
8459,Coffee,8,7,SPARTAN,0.6281500336210508
8460,Coffee,9,7,SAX,0.0357142857142857
8461,Coffee,9,7,SFA,0.3454614688305018
8463,Coffee,9,7,SPARTAN_woDAA,0.5584626662156954
8464,Coffee,9,7,SPARTAN,0.6295501886244915
8465,Coffee,10,7,SAX,0.0374962137212961
8466,Coffee,10,7,SFA,0.3732514643876478
8468,Coffee,10,7,SPARTAN_woDAA,0.5892167455929114
8469,Coffee,10,7,SPARTAN,0.6361209027676892
8470,Coffee,4,8,SAX,0.0357142857142857
8471,Coffee,4,8,SFA,0.2537432764637838
8473,Coffee,4,8,SPARTAN_woDAA,0.3768685111664352
8474,Coffee,4,8,SPARTAN,0.4923739029712479
8475,Coffee,5,8,SAX,0.0357142857142857
8476,Coffee,5,8,SFA,0.3048220931520009
8478,Coffee,5,8,SPARTAN_woDAA,0.4107050086413214
8479,Coffee,5,8,SPARTAN,0.5273510680675575
8480,Coffee,6,8,SAX,0.0357142857142857
8481,Coffee,6,8,SFA,0.3266142556904353
8483,Coffee,6,8,SPARTAN_woDAA,0.4791605075642251
8484,Coffee,6,8,SPARTAN,0.5379685926481015
8485,Coffee,7,8,SAX,0.0357142857142857
8486,Coffee,7,8,SFA,0.3461521520927967
8488,Coffee,7,8,SPARTAN_woDAA,0.5222153793721367
8489,Coffee,7,8,SPARTAN,0.5466790905318479
8490,Coffee,8,8,SAX,0.0357142857142857
8491,Coffee,8,8,SFA,0.3691266180289104
8493,Coffee,8,8,SPARTAN_woDAA,0.552081722251141
8494,Coffee,8,8,SPARTAN,0.6361209027676892
8495,Coffee,9,8,SAX,0.0357142857142857
8496,Coffee,9,8,SFA,0.3758720929755775
8498,Coffee,9,8,SPARTAN_woDAA,0.5616015660591767
8499,Coffee,9,8,SPARTAN,0.6527591797071268
8500,Coffee,10,8,SAX,0.0357142857142857
8501,Coffee,10,8,SFA,0.4088909800969387
8503,Coffee,10,8,SPARTAN_woDAA,0.591965978124648
8504,Coffee,10,8,SPARTAN,0.6533836237158185
8505,Coffee,4,9,SAX,0.0357142857142857
8506,Coffee,4,9,SFA,0.2747196683139945
8508,Coffee,4,9,SPARTAN_woDAA,0.3799427286584949
8509,Coffee,4,9,SPARTAN,0.499909932260878
8510,Coffee,5,9,SAX,0.0357142857142857
8511,Coffee,5,9,SFA,0.3243015442820193
8513,Coffee,5,9,SPARTAN_woDAA,0.4129534526882322
8514,Coffee,5,9,SPARTAN,0.5291875183496872
8515,Coffee,6,9,SAX,0.0357142857142857
8516,Coffee,6,9,SFA,0.3527150489950924
8518,Coffee,6,9,SPARTAN_woDAA,0.4819143040479461
8519,Coffee,6,9,SPARTAN,0.5405794067105519
8520,Coffee,7,9,SAX,0.0357142857142857
8521,Coffee,7,9,SFA,0.3748369599745569
8523,Coffee,7,9,SPARTAN_woDAA,0.5249406615932994
8524,Coffee,7,9,SPARTAN,0.5515250409029592
8525,Coffee,8,9,SAX,0.0390010215017838
8526,Coffee,8,9,SFA,0.3982582672708645
8528,Coffee,8,9,SPARTAN_woDAA,0.5549831545193376
8529,Coffee,8,9,SPARTAN,0.6533836237158185
8530,Coffee,9,9,SAX,0.0372826862381833
8531,Coffee,9,9,SFA,0.4074582408318936
8533,Coffee,9,9,SPARTAN_woDAA,0.5650412256095205
8534,Coffee,9,9,SPARTAN,0.655897752316697
8535,Coffee,10,9,SAX,0.0384007508848673
8536,Coffee,10,9,SFA,0.4401910861812987
8538,Coffee,10,9,SPARTAN_woDAA,0.5948696434259525
8539,Coffee,10,9,SPARTAN,0.6571701396228233
8540,Coffee,4,10,SAX,0.0357142857142857
8541,Coffee,4,10,SFA,0.2877469664705119
8543,Coffee,4,10,SPARTAN_woDAA,0.3814484765217441
8544,Coffee,4,10,SPARTAN,0.5273510680675575
8545,Coffee,5,10,SAX,0.0357142857142857
8546,Coffee,5,10,SFA,0.3415059394857896
8548,Coffee,5,10,SPARTAN_woDAA,0.4141050431753383
8549,Coffee,5,10,SPARTAN,0.5389505240378065
8550,Coffee,6,10,SAX,0.0357142857142857
8551,Coffee,6,10,SFA,0.3738790521264822
8553,Coffee,6,10,SPARTAN_woDAA,0.4836840490201332
8554,Coffee,6,10,SPARTAN,0.548275888201398
8555,Coffee,7,10,SAX,0.0357142857142857
8556,Coffee,7,10,SFA,0.3979831239085002
8558,Coffee,7,10,SPARTAN_woDAA,0.5266992697591492
8559,Coffee,7,10,SPARTAN,0.5544570357906969
8560,Coffee,8,10,SAX,0.0357142857142857
8561,Coffee,8,10,SFA,0.4206063023569432
8563,Coffee,8,10,SPARTAN_woDAA,0.5565839353442846
8564,Coffee,8,10,SPARTAN,0.6571701396228233
8565,Coffee,9,10,SAX,0.0449290108127473
8566,Coffee,9,10,SFA,0.4311218543482321
8568,Coffee,9,10,SPARTAN_woDAA,0.5668927956580607
8569,Coffee,9,10,SPARTAN,0.6617419912024033
8570,Coffee,10,10,SAX,0.0523846354772919
8571,Coffee,10,10,SFA,0.4645065169264994
8573,Coffee,10,10,SPARTAN_woDAA,0.596585134271842
8574,Coffee,10,10,SPARTAN,0.6641213210429613
8575,PigAirwayPressure,4,4,SAX,0.2152236560414952
8576,PigAirwayPressure,4,4,SFA,0.292843644249845
8578,PigAirwayPressure,4,4,SPARTAN_woDAA,0.3896214348501595
8579,PigAirwayPressure,4,4,SPARTAN,0.4112199379763938
8580,PigAirwayPressure,5,4,SAX,0.1977675656007183
8581,PigAirwayPressure,5,4,SFA,0.3527252197809308
8583,PigAirwayPressure,5,4,SPARTAN_woDAA,0.4656480528615847
8584,PigAirwayPressure,5,4,SPARTAN,0.4841906191127334
8585,PigAirwayPressure,6,4,SAX,0.2772279333300902
8586,PigAirwayPressure,6,4,SFA,0.400828010641893
8588,PigAirwayPressure,6,4,SPARTAN_woDAA,0.5077342869993917
8589,PigAirwayPressure,6,4,SPARTAN,0.5136020268348889
8590,PigAirwayPressure,7,4,SAX,0.3161884053183819
8591,PigAirwayPressure,7,4,SFA,0.4384674316379628
8593,PigAirwayPressure,7,4,SPARTAN_woDAA,0.5516529284527282
8594,PigAirwayPressure,7,4,SPARTAN,0.5445049339415701
8595,PigAirwayPressure,8,4,SAX,0.3360029119219254
8596,PigAirwayPressure,8,4,SFA,0.4635200984520717
8598,PigAirwayPressure,8,4,SPARTAN_woDAA,0.5744340332786155
8599,PigAirwayPressure,8,4,SPARTAN,0.5839717872295883
8600,PigAirwayPressure,9,4,SAX,0.3373206522366376
8601,PigAirwayPressure,9,4,SFA,0.4871069638292531
8603,PigAirwayPressure,9,4,SPARTAN_woDAA,0.5957117450165496
8604,PigAirwayPressure,9,4,SPARTAN,0.5839717872295883
8605,PigAirwayPressure,10,4,SAX,0.3536328023999373
8606,PigAirwayPressure,10,4,SFA,0.4997627738946463
8608,PigAirwayPressure,10,4,SPARTAN_woDAA,0.621215665721409
8609,PigAirwayPressure,10,4,SPARTAN,0.6252333418014812
8610,PigAirwayPressure,4,5,SAX,0.2588534018432307
8611,PigAirwayPressure,4,5,SFA,0.3313047923743426
8613,PigAirwayPressure,4,5,SPARTAN_woDAA,0.399814728303807
8614,PigAirwayPressure,4,5,SPARTAN,0.4841906191127334
8615,PigAirwayPressure,5,5,SAX,0.2931962289440863
8616,PigAirwayPressure,5,5,SFA,0.3924810088753818
8618,PigAirwayPressure,5,5,SPARTAN_woDAA,0.4763226008095358
8619,PigAirwayPressure,5,5,SPARTAN,0.5136020268348889
8620,PigAirwayPressure,6,5,SAX,0.3549408595115654
8621,PigAirwayPressure,6,5,SFA,0.4401795569875534
8623,PigAirwayPressure,6,5,SPARTAN_woDAA,0.5199149141273584
8624,PigAirwayPressure,6,5,SPARTAN,0.5445049339415701
8625,PigAirwayPressure,7,5,SAX,0.3691366404578932
8626,PigAirwayPressure,7,5,SFA,0.4840987874974878
8628,PigAirwayPressure,7,5,SPARTAN_woDAA,0.5647736194235462
8629,PigAirwayPressure,7,5,SPARTAN,0.5806204551073082
8630,PigAirwayPressure,8,5,SAX,0.3921408449972419
8631,PigAirwayPressure,8,5,SFA,0.5118266819622719
8633,PigAirwayPressure,8,5,SPARTAN_woDAA,0.5886440287580665
8634,PigAirwayPressure,8,5,SPARTAN,0.6493170863063248
8635,PigAirwayPressure,9,5,SAX,0.416398467275549
8636,PigAirwayPressure,9,5,SFA,0.5352387438020604
8638,PigAirwayPressure,9,5,SPARTAN_woDAA,0.6104224033722699
8639,PigAirwayPressure,9,5,SPARTAN,0.6493170863063248
8640,PigAirwayPressure,10,5,SAX,0.4418181415734842
8641,PigAirwayPressure,10,5,SFA,0.5501183385517295
8643,PigAirwayPressure,10,5,SPARTAN_woDAA,0.6357144746580535
8644,PigAirwayPressure,10,5,SPARTAN,0.65475070245526
8645,PigAirwayPressure,4,6,SAX,0.2865418264552474
8646,PigAirwayPressure,4,6,SFA,0.3535691102179069
8648,PigAirwayPressure,4,6,SPARTAN_woDAA,0.4119860301824893
8649,PigAirwayPressure,4,6,SPARTAN,0.5136020268348889
8650,PigAirwayPressure,5,6,SAX,0.3211549664889523
8651,PigAirwayPressure,5,6,SFA,0.4205210029723802
8653,PigAirwayPressure,5,6,SPARTAN_woDAA,0.490332064983719
8654,PigAirwayPressure,5,6,SPARTAN,0.5445049339415701
8655,PigAirwayPressure,6,6,SAX,0.4019954441134889
8656,PigAirwayPressure,6,6,SFA,0.470662424216663
8658,PigAirwayPressure,6,6,SPARTAN_woDAA,0.5349160340766235
8659,PigAirwayPressure,6,6,SPARTAN,0.5806204551073082
8660,PigAirwayPressure,7,6,SAX,0.4526974505197039
8661,PigAirwayPressure,7,6,SFA,0.5161589874113366
8663,PigAirwayPressure,7,6,SPARTAN_woDAA,0.5792817227263207
8664,PigAirwayPressure,7,6,SPARTAN,0.5883814361284657
8665,PigAirwayPressure,8,6,SAX,0.4735685008390645
8666,PigAirwayPressure,8,6,SFA,0.5450616537721655
8668,PigAirwayPressure,8,6,SPARTAN_woDAA,0.6035903519329626
8669,PigAirwayPressure,8,6,SPARTAN,0.6616325455651945
8670,PigAirwayPressure,9,6,SAX,0.4835891670550007
8671,PigAirwayPressure,9,6,SFA,0.5710236390448945
8673,PigAirwayPressure,9,6,SPARTAN_woDAA,0.6259622094816136
8674,PigAirwayPressure,9,6,SPARTAN,0.6797331500695775
8675,PigAirwayPressure,10,6,SAX,0.4815636076291393
8676,PigAirwayPressure,10,6,SFA,0.5878069092403236
8678,PigAirwayPressure,10,6,SPARTAN_woDAA,0.6505295747275359
8679,PigAirwayPressure,10,6,SPARTAN,0.6797331500695775
8680,PigAirwayPressure,4,7,SAX,0.3037836173256637
8681,PigAirwayPressure,4,7,SFA,0.3659790128830194
8683,PigAirwayPressure,4,7,SPARTAN_woDAA,0.4184098097839601
8684,PigAirwayPressure,4,7,SPARTAN,0.5445049339415701
8685,PigAirwayPressure,5,7,SAX,0.3443709702881212
8686,PigAirwayPressure,5,7,SFA,0.4316677165472744
8688,PigAirwayPressure,5,7,SPARTAN_woDAA,0.4976717556306188
8689,PigAirwayPressure,5,7,SPARTAN,0.5806204551073082
8690,PigAirwayPressure,6,7,SAX,0.4236299115772817
8691,PigAirwayPressure,6,7,SFA,0.4820592151011013
8693,PigAirwayPressure,6,7,SPARTAN_woDAA,0.5422929947341687
8694,PigAirwayPressure,6,7,SPARTAN,0.5926221423590485
8695,PigAirwayPressure,7,7,SAX,0.4702543209041156
8696,PigAirwayPressure,7,7,SFA,0.5293968996219139
8698,PigAirwayPressure,7,7,SPARTAN_woDAA,0.5875086065572311
8699,PigAirwayPressure,7,7,SPARTAN,0.599399094271545
8700,PigAirwayPressure,8,7,SAX,0.496179096414399
8701,PigAirwayPressure,8,7,SFA,0.5589791376248204
8703,PigAirwayPressure,8,7,SPARTAN_woDAA,0.6116842601234667
8704,PigAirwayPressure,8,7,SPARTAN,0.6831954820994895
8705,PigAirwayPressure,9,7,SAX,0.5128393570709452
8706,PigAirwayPressure,9,7,SFA,0.5845742556284418
8708,PigAirwayPressure,9,7,SPARTAN_woDAA,0.634522930520584
8709,PigAirwayPressure,9,7,SPARTAN,0.6890447518993532
8710,PigAirwayPressure,10,7,SAX,0.5357743821087756
8711,PigAirwayPressure,10,7,SFA,0.6023375589391127
8713,PigAirwayPressure,10,7,SPARTAN_woDAA,0.6591216022649203
8714,PigAirwayPressure,10,7,SPARTAN,0.7056793505520472
8715,PigAirwayPressure,4,8,SAX,0.3175670562281502
8716,PigAirwayPressure,4,8,SFA,0.3771741617014317
8718,PigAirwayPressure,4,8,SPARTAN_woDAA,0.426577440428964
8719,PigAirwayPressure,4,8,SPARTAN,0.5516853078365509
8720,PigAirwayPressure,5,8,SAX,0.358055548710336
8721,PigAirwayPressure,5,8,SFA,0.4467950609077789
8723,PigAirwayPressure,5,8,SPARTAN_woDAA,0.5050941521203464
8724,PigAirwayPressure,5,8,SPARTAN,0.5883814361284657
8725,PigAirwayPressure,6,8,SAX,0.4359820744360703
8726,PigAirwayPressure,6,8,SFA,0.4993064379172543
8728,PigAirwayPressure,6,8,SPARTAN_woDAA,0.5503739193302073
8729,PigAirwayPressure,6,8,SPARTAN,0.5972009010312869
8730,PigAirwayPressure,7,8,SAX,0.4850294557975586
8731,PigAirwayPressure,7,8,SFA,0.5476836044580826
8733,PigAirwayPressure,7,8,SPARTAN_woDAA,0.5953680237347785
8734,PigAirwayPressure,7,8,SPARTAN,0.6113875973128858
8735,PigAirwayPressure,8,8,SAX,0.5134112660244533
8736,PigAirwayPressure,8,8,SFA,0.5781366468717185
8738,PigAirwayPressure,8,8,SPARTAN_woDAA,0.6199003824204863
8739,PigAirwayPressure,8,8,SPARTAN,0.7056793505520474
8740,PigAirwayPressure,9,8,SAX,0.5295860283596334
8741,PigAirwayPressure,9,8,SFA,0.604635605452786
8743,PigAirwayPressure,9,8,SPARTAN_woDAA,0.6430294195633128
8744,PigAirwayPressure,9,8,SPARTAN,0.7091682947368386
8745,PigAirwayPressure,10,8,SAX,0.5527584636759145
8746,PigAirwayPressure,10,8,SFA,0.6222813829203381
8748,PigAirwayPressure,10,8,SPARTAN_woDAA,0.6673049675610933
8749,PigAirwayPressure,10,8,SPARTAN,0.71535664878599
8750,PigAirwayPressure,4,9,SAX,0.3237185386616033
8751,PigAirwayPressure,4,9,SFA,0.3856957963982133
8753,PigAirwayPressure,4,9,SPARTAN_woDAA,0.4331816940980016
8754,PigAirwayPressure,4,9,SPARTAN,0.5806204551073082
8755,PigAirwayPressure,5,9,SAX,0.3674215594016431
8756,PigAirwayPressure,5,9,SFA,0.4545406882703988
8758,PigAirwayPressure,5,9,SPARTAN_woDAA,0.5117082166437259
8759,PigAirwayPressure,5,9,SPARTAN,0.5926221423590485
8760,PigAirwayPressure,6,9,SAX,0.4478585433764523
8761,PigAirwayPressure,6,9,SFA,0.5079807805577773
8763,PigAirwayPressure,6,9,SPARTAN_woDAA,0.558172423743052
8764,PigAirwayPressure,6,9,SPARTAN,0.6074548588952529
8765,PigAirwayPressure,7,9,SAX,0.4967224129128634
8766,PigAirwayPressure,7,9,SFA,0.5567229499770231
8768,PigAirwayPressure,7,9,SPARTAN_woDAA,0.6024424248828082
8769,PigAirwayPressure,7,9,SPARTAN,0.6193173021464933
8770,PigAirwayPressure,8,9,SAX,0.5291480706114063
8771,PigAirwayPressure,8,9,SFA,0.5875902491162689
8773,PigAirwayPressure,8,9,SPARTAN_woDAA,0.6273300951452492
8774,PigAirwayPressure,8,9,SPARTAN,0.71535664878599
8775,PigAirwayPressure,9,9,SAX,0.5506872196177688
8776,PigAirwayPressure,9,9,SFA,0.6141331639848506
8778,PigAirwayPressure,9,9,SPARTAN_woDAA,0.6510510816044588
8779,PigAirwayPressure,9,9,SPARTAN,0.7180893660337218
8780,PigAirwayPressure,10,9,SAX,0.5699627597405464
8781,PigAirwayPressure,10,9,SFA,0.6317768700613381
8783,PigAirwayPressure,10,9,SPARTAN_woDAA,0.6751445102017739
8784,PigAirwayPressure,10,9,SPARTAN,0.7217323766315102
8785,PigAirwayPressure,4,10,SAX,0.324005706910337
8786,PigAirwayPressure,4,10,SFA,0.3920982603291287
8788,PigAirwayPressure,4,10,SPARTAN_woDAA,0.4336050827444316
8789,PigAirwayPressure,4,10,SPARTAN,0.5883814361284657
8790,PigAirwayPressure,5,10,SAX,0.3659860490821606
8791,PigAirwayPressure,5,10,SFA,0.4615002676847393
8793,PigAirwayPressure,5,10,SPARTAN_woDAA,0.5121574581934264
8794,PigAirwayPressure,5,10,SPARTAN,0.6008770628905096
8795,PigAirwayPressure,6,10,SAX,0.4487638860556233
8796,PigAirwayPressure,6,10,SFA,0.515606444137212
8798,PigAirwayPressure,6,10,SPARTAN_woDAA,0.5585774201281115
8799,PigAirwayPressure,6,10,SPARTAN,0.6076481228781708
8800,PigAirwayPressure,7,10,SAX,0.5024363814326808
8801,PigAirwayPressure,7,10,SFA,0.5646432655956108
8803,PigAirwayPressure,7,10,SPARTAN_woDAA,0.6028683113593996
8804,PigAirwayPressure,7,10,SPARTAN,0.623434195589195
8805,PigAirwayPressure,8,10,SAX,0.531775269739477
8806,PigAirwayPressure,8,10,SFA,0.5960913289916753
8808,PigAirwayPressure,8,10,SPARTAN_woDAA,0.6277109911358927
8809,PigAirwayPressure,8,10,SPARTAN,0.7217323766315102
8810,PigAirwayPressure,9,10,SAX,0.5588122067787589
8811,PigAirwayPressure,9,10,SFA,0.6227093008557354
8813,PigAirwayPressure,9,10,SPARTAN_woDAA,0.6514374033600012
8814,PigAirwayPressure,9,10,SPARTAN,0.7218420981706691
8815,PigAirwayPressure,10,10,SAX,0.5794924506151771
8816,PigAirwayPressure,10,10,SFA,0.6416616199647079
8818,PigAirwayPressure,10,10,SPARTAN_woDAA,0.6755557607197964
8819,PigAirwayPressure,10,10,SPARTAN,0.7282137201213622
8820,Car,4,4,SAX,0.0433868567518298
8821,Car,4,4,SFA,0.2188128965015685
8823,Car,4,4,SPARTAN_woDAA,0.2347388933191747
8824,Car,4,4,SPARTAN,0.3743896626045698
8825,Car,5,4,SAX,0.0666848222832657
8826,Car,5,4,SFA,0.2958751412131595
8828,Car,5,4,SPARTAN_woDAA,0.3364772945642427
8829,Car,5,4,SPARTAN,0.4275912165696153
8830,Car,6,4,SAX,0.1174144050134546
8831,Car,6,4,SFA,0.3404822696122219
8833,Car,6,4,SPARTAN_woDAA,0.3837094479166086
8834,Car,6,4,SPARTAN,0.4384839675109103
8835,Car,7,4,SAX,0.1626562750735374
8836,Car,7,4,SFA,0.3737209505727785
8838,Car,7,4,SPARTAN_woDAA,0.4232830781218503
8839,Car,7,4,SPARTAN,0.4478893895836101
8840,Car,8,4,SAX,0.172563491508887
8841,Car,8,4,SFA,0.4000110356440056
8843,Car,8,4,SPARTAN_woDAA,0.4616243660025789
8844,Car,8,4,SPARTAN,0.5409911360021447
8845,Car,9,4,SAX,0.2108815964847788
8846,Car,9,4,SFA,0.4348847997272527
8848,Car,9,4,SPARTAN_woDAA,0.501343896112984
8849,Car,9,4,SPARTAN,0.5409911360021447
8850,Car,10,4,SAX,0.2487113416222822
8851,Car,10,4,SFA,0.4481759215187372
8853,Car,10,4,SPARTAN_woDAA,0.5346891213245233
8854,Car,10,4,SPARTAN,0.5728594969616759
8855,Car,4,5,SAX,0.0661261745160803
8856,Car,4,5,SFA,0.2393405173727484
8858,Car,4,5,SPARTAN_woDAA,0.2448756646013833
8859,Car,4,5,SPARTAN,0.4275912165696153
8860,Car,5,5,SAX,0.0977709447888344
8861,Car,5,5,SFA,0.3243886290028799
8863,Car,5,5,SPARTAN_woDAA,0.347101771992268
8864,Car,5,5,SPARTAN,0.4384839675109103
8865,Car,6,5,SAX,0.1496249472819857
8866,Car,6,5,SFA,0.3721866664676156
8868,Car,6,5,SPARTAN_woDAA,0.3947055876385344
8869,Car,6,5,SPARTAN,0.4439561331425612
8870,Car,7,5,SAX,0.1627749415236327
8871,Car,7,5,SFA,0.4046094440384166
8873,Car,7,5,SPARTAN_woDAA,0.4362358297381609
8874,Car,7,5,SPARTAN,0.4663444482282822
8875,Car,8,5,SAX,0.1917776185278294
8876,Car,8,5,SFA,0.4309182683776054
8878,Car,8,5,SPARTAN_woDAA,0.4743487145368072
8879,Car,8,5,SPARTAN,0.5765554810373996
8880,Car,9,5,SAX,0.2143910301566387
8881,Car,9,5,SFA,0.4699177168311892
8883,Car,9,5,SPARTAN_woDAA,0.5163538916474594
8884,Car,9,5,SPARTAN,0.5765554810373996
8885,Car,10,5,SAX,0.2347739442494386
8886,Car,10,5,SFA,0.4832250288023305
8888,Car,10,5,SPARTAN_woDAA,0.549476372931819
8889,Car,10,5,SPARTAN,0.5866388123068793
8890,Car,4,6,SAX,0.0587626550814689
8891,Car,4,6,SFA,0.2529276497006265
8893,Car,4,6,SPARTAN_woDAA,0.2585360295954592
8894,Car,4,6,SPARTAN,0.4384839675109103
8895,Car,5,6,SAX,0.059549642993671
8896,Car,5,6,SFA,0.3395626831575292
8898,Car,5,6,SPARTAN_woDAA,0.3630677474425719
8899,Car,5,6,SPARTAN,0.4439561331425612
8900,Car,6,6,SAX,0.1020853724829891
8901,Car,6,6,SFA,0.38370205404379
8903,Car,6,6,SPARTAN_woDAA,0.4116411907062917
8904,Car,6,6,SPARTAN,0.4610078992767013
8905,Car,7,6,SAX,0.1052600076376282
8906,Car,7,6,SFA,0.4186556027850847
8908,Car,7,6,SPARTAN_woDAA,0.4533618867443728
8909,Car,7,6,SPARTAN,0.4736861070014769
8910,Car,8,6,SAX,0.1535102158563408
8911,Car,8,6,SFA,0.4470984077183422
8913,Car,8,6,SPARTAN_woDAA,0.4903959089424498
8914,Car,8,6,SPARTAN,0.5923874350402154
8915,Car,9,6,SAX,0.1978122111245095
8916,Car,9,6,SFA,0.4873879016834691
8918,Car,9,6,SPARTAN_woDAA,0.5323637222413065
8919,Car,9,6,SPARTAN,0.5984349518378361
8920,Car,10,6,SAX,0.2088520523004797
8921,Car,10,6,SFA,0.5003387356061612
8923,Car,10,6,SPARTAN_woDAA,0.5656612048670052
8924,Car,10,6,SPARTAN,0.5984349518378361
8925,Car,4,7,SAX,0.1119108892829365
8926,Car,4,7,SFA,0.2640022363416727
8928,Car,4,7,SPARTAN_woDAA,0.2660642154184623
8929,Car,4,7,SPARTAN,0.4439561331425612
8930,Car,5,7,SAX,0.1461621888410072
8931,Car,5,7,SFA,0.3546327862384988
8933,Car,5,7,SPARTAN_woDAA,0.3710467570504165
8934,Car,5,7,SPARTAN,0.4610078992767013
8935,Car,6,7,SAX,0.2056669254724578
8936,Car,6,7,SFA,0.3979232243693665
8938,Car,6,7,SPARTAN_woDAA,0.4215332459339105
8939,Car,6,7,SPARTAN,0.477857550063831
8940,Car,7,7,SAX,0.2331398139452792
8941,Car,7,7,SFA,0.4336735021219183
8943,Car,7,7,SPARTAN_woDAA,0.4633915910009882
8944,Car,7,7,SPARTAN,0.4851164245770467
8945,Car,8,7,SAX,0.2928550572255321
8946,Car,8,7,SFA,0.4645574607935955
8948,Car,8,7,SPARTAN_woDAA,0.4994880559507756
8949,Car,8,7,SPARTAN,0.6015199653686455
8950,Car,9,7,SAX,0.3011641957930145
8951,Car,9,7,SFA,0.5043469958016371
8953,Car,9,7,SPARTAN_woDAA,0.5418985145901378
8954,Car,9,7,SPARTAN,0.6089366311981248
8955,Car,10,7,SAX,0.334837658579412
8956,Car,10,7,SFA,0.5159985977214807
8958,Car,10,7,SPARTAN_woDAA,0.5755452752921411
8959,Car,10,7,SPARTAN,0.6184907105125156
8960,Car,4,8,SAX,0.0891948226787476
8961,Car,4,8,SFA,0.2766651918979746
8963,Car,4,8,SPARTAN_woDAA,0.2697600153136987
8964,Car,4,8,SPARTAN,0.4524252003977523
8965,Car,5,8,SAX,0.1552442873434963
8966,Car,5,8,SFA,0.3684614960234662
8968,Car,5,8,SPARTAN_woDAA,0.3751642531862768
8969,Car,5,8,SPARTAN,0.465573131852856
8970,Car,6,8,SAX,0.1805392732821326
8971,Car,6,8,SFA,0.413891731937429
8973,Car,6,8,SPARTAN_woDAA,0.4262138477317527
8974,Car,6,8,SPARTAN,0.480203780621795
8975,Car,7,8,SAX,0.1920924381900024
8976,Car,7,8,SFA,0.4495238241167223
8978,Car,7,8,SPARTAN_woDAA,0.4687840744094909
8979,Car,7,8,SPARTAN,0.4963246606969796
8980,Car,8,8,SAX,0.234024545479351
8981,Car,8,8,SFA,0.4799245492146043
8983,Car,8,8,SPARTAN_woDAA,0.5052959332959789
8984,Car,8,8,SPARTAN,0.6105924683192392
8985,Car,9,8,SAX,0.2503675208773194
8986,Car,9,8,SFA,0.5217685030695141
8988,Car,9,8,SPARTAN_woDAA,0.5467816601519192
8989,Car,9,8,SPARTAN,0.6200501741921213
8990,Car,10,8,SAX,0.2916784984703516
8991,Car,10,8,SFA,0.5350054113745168
8993,Car,10,8,SPARTAN_woDAA,0.5807681037981136
8994,Car,10,8,SPARTAN,0.624124059274185
8995,Car,4,9,SAX,0.1121271329667102
8996,Car,4,9,SFA,0.283248530633803
8998,Car,4,9,SPARTAN_woDAA,0.2734249125451881
8999,Car,4,9,SPARTAN,0.4610078992767013
9000,Car,5,9,SAX,0.1463367295464838
9001,Car,5,9,SFA,0.3750931977041674
9003,Car,5,9,SPARTAN_woDAA,0.3779743372200306
9004,Car,5,9,SPARTAN,0.477857550063831
9005,Car,6,9,SAX,0.222813305216181
9006,Car,6,9,SFA,0.4211375948393359
9008,Car,6,9,SPARTAN_woDAA,0.4302923361889643
9009,Car,6,9,SPARTAN,0.4890371353862772
