dataset,a,w,method,tlb,param
BeetleFly,9,6,sax,0.3080249722710229,none
BeetleFly,9,6,sfa,0.3159721374772883,none
BeetleFly,9,6,sfa,0.3480922387997163,var
BeetleFly,9,6,spartan,0.3827244008036954,woDAA
BeetleFly,9,6,spartan,0.3954805744129895,dp_debug-reg7-delta0.5
BeetleFly,10,6,sax,0.329194162942273,none
BeetleFly,10,6,sfa,0.324803913665579,none
BeetleFly,10,6,sfa,0.361967269926986,var
BeetleFly,10,6,spartan,0.3918015309027152,woDAA
BeetleFly,10,6,spartan,0.3954805744129895,dp_debug-reg7-delta0.5
BeetleFly,4,7,sax,0.1630966364206526,none
BeetleFly,4,7,sfa,0.2229626712591269,none
BeetleFly,4,7,sfa,0.2502890372292417,var
BeetleFly,4,7,spartan,0.2807696102791921,woDAA
BeetleFly,4,7,spartan,0.2807696102791921,dp_debug-reg7-delta0.5
BeetleFly,5,7,sax,0.2577511739428317,none
BeetleFly,5,7,sfa,0.2513451857571361,none
BeetleFly,5,7,sfa,0.2697861883390401,var
BeetleFly,5,7,spartan,0.3193905795496795,woDAA
BeetleFly,5,7,spartan,0.3235467908206583,dp_debug-reg7-delta0.5
BeetleFly,6,7,sax,0.2852072993447452,none
BeetleFly,6,7,sfa,0.2900577972039909,none
BeetleFly,6,7,sfa,0.3129551107489918,var
BeetleFly,6,7,spartan,0.3545334779854883,woDAA
BeetleFly,6,7,spartan,0.3574382304456077,dp_debug-reg7-delta0.5
BeetleFly,7,7,sax,0.3122917035247041,none
BeetleFly,7,7,sfa,0.3254185125756765,none
BeetleFly,7,7,sfa,0.3484919704743482,var
BeetleFly,7,7,spartan,0.3778289983535501,woDAA
BeetleFly,7,7,spartan,0.3770729409438778,dp_debug-reg7-delta0.5
BeetleFly,8,7,sax,0.3081765570222011,none
BeetleFly,8,7,sfa,0.3361999188810063,none
BeetleFly,8,7,sfa,0.3634689099652511,var
BeetleFly,8,7,spartan,0.4134224683084017,woDAA
BeetleFly,8,7,spartan,0.4134224683084017,dp_debug-reg7-delta0.5
BeetleFly,9,7,sax,0.3472636421403472,none
BeetleFly,9,7,sfa,0.3529990355139078,none
BeetleFly,9,7,sfa,0.3727976546465251,var
BeetleFly,9,7,spartan,0.4205742058040077,woDAA
BeetleFly,9,7,spartan,0.4293006150858653,dp_debug-reg7-delta0.5
BeetleFly,10,7,sax,0.3721404310533155,none
BeetleFly,10,7,sfa,0.3548282253802878,none
BeetleFly,10,7,sfa,0.3955181305802085,var
BeetleFly,10,7,spartan,0.4291753186716939,woDAA
BeetleFly,10,7,spartan,0.4435015622809684,dp_debug-reg7-delta0.5
BeetleFly,4,8,sax,0.2933597381637881,none
BeetleFly,4,8,sfa,0.2411133994340175,none
BeetleFly,4,8,sfa,0.2620347701284047,var
BeetleFly,4,8,spartan,0.2961663068749349,woDAA
BeetleFly,4,8,spartan,0.2907011383080988,dp_debug-reg7-delta0.5
BeetleFly,5,8,sax,0.2973908829425772,none
BeetleFly,5,8,sfa,0.2715344107873803,none
BeetleFly,5,8,sfa,0.2864186250676539,var
BeetleFly,5,8,spartan,0.33843820955647,woDAA
BeetleFly,5,8,spartan,0.3372548271150238,dp_debug-reg7-delta0.5
BeetleFly,6,8,sax,0.3256260967753916,none
BeetleFly,6,8,sfa,0.3159043451523953,none
BeetleFly,6,8,sfa,0.3297082379046629,var
BeetleFly,6,8,spartan,0.3822284089855792,woDAA
BeetleFly,6,8,spartan,0.3699640985556233,dp_debug-reg7-delta0.5
BeetleFly,7,8,sax,0.342768758496624,none
BeetleFly,7,8,sfa,0.3427005381434121,none
BeetleFly,7,8,sfa,0.3643988131839113,var
BeetleFly,7,8,spartan,0.3989599751491788,woDAA
BeetleFly,7,8,spartan,0.4103856098543477,dp_debug-reg7-delta0.5
BeetleFly,8,8,sax,0.3847803442579465,none
BeetleFly,8,8,sfa,0.3566936672422839,none
BeetleFly,8,8,sfa,0.3809873727913315,var
BeetleFly,8,8,spartan,0.433601233850203,woDAA
BeetleFly,8,8,spartan,0.4388599625048572,dp_debug-reg7-delta0.5
BeetleFly,9,8,sax,0.3908685397760432,none
BeetleFly,9,8,sfa,0.3726283192082903,none
BeetleFly,9,8,sfa,0.3893114856647803,var
BeetleFly,9,8,spartan,0.4443858327558966,woDAA
BeetleFly,9,8,spartan,0.4483430864744498,dp_debug-reg7-delta0.5
BeetleFly,10,8,sax,0.4108377727822014,none
BeetleFly,10,8,sfa,0.3812365783458215,none
BeetleFly,10,8,sfa,0.4107983100063056,var
BeetleFly,10,8,spartan,0.4528417101118747,woDAA
BeetleFly,10,8,spartan,0.4620443863098231,dp_debug-reg7-delta0.5
BeetleFly,4,9,sax,0.307766694353429,none
BeetleFly,4,9,sfa,0.2529677854104805,none
BeetleFly,4,9,sfa,0.2756398771698169,var
BeetleFly,4,9,spartan,0.3054447776342542,woDAA
BeetleFly,4,9,spartan,0.3055806220365078,dp_debug-reg7-delta0.5
BeetleFly,5,9,sax,0.3130695254450483,none
BeetleFly,5,9,sfa,0.2872674084410169,none
BeetleFly,5,9,sfa,0.3114757812009147,var
BeetleFly,5,9,spartan,0.3563130797167859,woDAA
BeetleFly,5,9,spartan,0.3439971353146907,dp_debug-reg7-delta0.5
BeetleFly,6,9,sax,0.3464751277480373,none
BeetleFly,6,9,sfa,0.3309872991778447,none
BeetleFly,6,9,sfa,0.3582932873800333,var
BeetleFly,6,9,spartan,0.4019904007645842,woDAA
BeetleFly,6,9,spartan,0.3949316290855519,dp_debug-reg7-delta0.5
BeetleFly,7,9,sax,0.3733291624418359,none
BeetleFly,7,9,sfa,0.3579578092148291,none
BeetleFly,7,9,sfa,0.4040926621964845,var
BeetleFly,7,9,spartan,0.4150545315866057,woDAA
BeetleFly,7,9,spartan,0.4286697429126331,dp_debug-reg7-delta0.5
BeetleFly,8,9,sax,0.4010865930285872,none
BeetleFly,8,9,sfa,0.3723564222708726,none
BeetleFly,8,9,sfa,0.4145189258478045,var
BeetleFly,8,9,spartan,0.4490860225568715,woDAA
BeetleFly,8,9,spartan,0.4529192646433266,dp_debug-reg7-delta0.5
BeetleFly,9,9,sax,0.3985777808948975,none
BeetleFly,9,9,sfa,0.390573424794522,none
BeetleFly,9,9,sfa,0.4312298507386158,var
BeetleFly,9,9,spartan,0.4631442020685651,woDAA
BeetleFly,9,9,spartan,0.4663695247034704,dp_debug-reg7-delta0.5
BeetleFly,10,9,sax,0.4242870481625365,none
BeetleFly,10,9,sfa,0.4003580069222034,none
BeetleFly,10,9,sfa,0.4527278178811121,var
BeetleFly,10,9,spartan,0.4726401105614685,woDAA
BeetleFly,10,9,spartan,0.4764184667794998,dp_debug-reg7-delta0.5
BeetleFly,4,10,sax,0.3147537030120538,none
BeetleFly,4,10,sfa,0.2607701496893216,none
BeetleFly,4,10,sfa,0.2862005564437384,var
BeetleFly,4,10,spartan,0.3195790242006686,woDAA
BeetleFly,4,10,spartan,0.3372548271150238,dp_debug-reg7-delta0.5
BeetleFly,5,10,sax,0.3699404971550133,none
BeetleFly,5,10,sfa,0.2958460982780395,none
BeetleFly,5,10,sfa,0.3244577073304346,var
BeetleFly,5,10,spartan,0.3666875338952955,woDAA
BeetleFly,5,10,spartan,0.369569779327406,dp_debug-reg7-delta0.5
BeetleFly,6,10,sax,0.392330246322425,none
BeetleFly,6,10,sfa,0.3408422429076886,none
BeetleFly,6,10,sfa,0.3714507248215315,var
BeetleFly,6,10,spartan,0.4139284256968173,woDAA
BeetleFly,6,10,spartan,0.4054078607295817,dp_debug-reg7-delta0.5
BeetleFly,7,10,sax,0.4126441558483731,none
BeetleFly,7,10,sfa,0.3654387355729494,none
BeetleFly,7,10,sfa,0.4166307938477299,var
BeetleFly,7,10,spartan,0.430000053460102,woDAA
BeetleFly,7,10,spartan,0.4471708085567209,dp_debug-reg7-delta0.5
BeetleFly,8,10,sax,0.4258585517602711,none
BeetleFly,8,10,sfa,0.3805402553114163,none
BeetleFly,8,10,sfa,0.4288804786791932,var
BeetleFly,8,10,spartan,0.4660700091109676,woDAA
BeetleFly,8,10,spartan,0.474534462291407,dp_debug-reg7-delta0.5
BeetleFly,9,10,sax,0.4369520013046121,none
BeetleFly,9,10,sfa,0.4006518936443982,none
BeetleFly,9,10,sfa,0.4444977918778015,var
BeetleFly,9,10,spartan,0.4809697308412246,woDAA
BeetleFly,9,10,spartan,0.4842550993225857,dp_debug-reg7-delta0.5
BeetleFly,10,10,sax,0.4701780267004319,none
BeetleFly,10,10,sfa,0.4129658141266205,none
BeetleFly,10,10,sfa,0.4650581365910829,var
BeetleFly,10,10,spartan,0.486714410594015,woDAA
BeetleFly,10,10,spartan,0.4958878024590176,dp_debug-reg7-delta0.5
Wine,4,4,sax,0.0185185185185185,none
Wine,4,4,sfa,0.1804343935221753,none
Wine,4,4,sfa,0.1883234246192487,var
Wine,4,4,spartan,0.2469149968157659,woDAA
Wine,4,4,spartan,0.4483796184191413,dp_debug-reg7-delta0.5
Wine,5,4,sax,0.0185185185185185,none
Wine,5,4,sfa,0.2560130637042099,none
Wine,5,4,sfa,0.2553874376109555,var
Wine,5,4,spartan,0.3041499162136167,woDAA
Wine,5,4,spartan,0.4567612665737313,dp_debug-reg7-delta0.5
Wine,6,4,sax,0.0185185185185185,none
Wine,6,4,sfa,0.2830541520588255,none
Wine,6,4,sfa,0.2898157580786585,var
Wine,6,4,spartan,0.3755251947447119,woDAA
Wine,6,4,spartan,0.4732998045362374,dp_debug-reg7-delta0.5
Wine,7,4,sax,0.0185185185185185,none
Wine,7,4,sfa,0.3091347746172376,none
Wine,7,4,sfa,0.3214349654145099,var
Wine,7,4,spartan,0.4528968507572959,woDAA
Wine,7,4,spartan,0.4809480699892686,dp_debug-reg7-delta0.5
Wine,8,4,sax,0.0185185185185185,none
Wine,8,4,sfa,0.3238386319288226,none
Wine,8,4,sfa,0.3491320079394255,var
Wine,8,4,spartan,0.4926627962222764,woDAA
Wine,8,4,spartan,0.575926787613486,dp_debug-reg7-delta0.5
Wine,9,4,sax,0.0185185185185185,none
Wine,9,4,sfa,0.3547566196950256,none
Wine,9,4,sfa,0.3697653141189068,var
Wine,9,4,spartan,0.5151419140477362,woDAA
